time,bond_closing_yields_1year,bond_closing_yields_2year,bond_closing_yields_5year,bond_closing_yields_10year,Swap_rates_1year,Swap_rates_2year,Swap_rates_3year,Swap_rates_4year,Swap_rates_5year,Swap_rates_7year,Swap_rates_10year,Swap_rates_15year,Swap_rates_2-10year
Oct 2014,3.51,,3.94,4.04,3.78,3.98,4.10,4.18,4.24,4.35,4.45,4.59,47
Nov 2014,3.52,,3.88,4.03,3.75,3.91,4.02,4.10,4.18,4.31,4.43,4.58,52
Dec 2014,3.52,3.56,3.67,3.77,3.73,3.84,3.92,3.98,4.04,4.13,4.22,4.38,38
Jan 2015,,3.37,3.39,3.42,3.68,3.72,3.74,3.76,3.78,3.81,3.85,3.95,13
Feb 2015,,3.18,3.22,3.27,3.58,3.59,3.61,3.63,3.66,3.71,3.76,3.85,17
Mar 2015,,3.15,3.21,3.30,3.57,3.56,3.59,3.62,3.66,3.72,3.79,3.89,23
Apr 2015,,3.12,3.11,3.25,3.54,3.51,3.52,3.55,3.59,3.66,3.74,3.83,22
May 2015,,3.10,3.21,3.66,3.40,3.41,3.47,3.55,3.65,3.80,3.97,4.11,56
Jun 2015,,2.97,3.18,3.76,3.18,3.20,3.29,3.41,3.54,3.76,3.99,4.21,79
Jul 2015,,2.67,2.85,3.46,2.93,2.94,3.01,3.13,3.27,3.52,3.78,4.02,85
Aug 2015,,2.56,2.69,3.28,2.82,2.86,2.93,3.03,3.15,3.36,3.61,3.86,75
Sep 2015,,2.48,2.69,3.29,2.71,2.74,2.84,2.96,3.09,3.33,3.59,3.84,84
Oct 2015,,2.52,2.73,3.33,2.72,2.72,2.80,2.91,3.03,3.27,3.52,3.77,79
Nov 2015,,2.60,2.94,3.51,2.73,2.75,2.83,2.95,3.09,3.34,3.60,3.85,84
Dec 2015,,2.61,2.96,3.55,2.74,2.79,2.90,3.03,3.16,3.41,3.66,3.92,86
Jan 2016,,2.43,2.76,3.31,2.66,2.70,2.80,2.93,3.05,3.28,3.51,3.78,81
Feb 2016,,2.36,2.60,3.06,2.53,2.53,2.59,2.69,2.79,2.98,3.20,3.46,67
Mar 2016,,2.10,2.41,3.02,2.31,2.31,2.37,2.47,2.59,2.81,3.07,3.37,76
Apr 2016,,2.03,2.24,2.86,2.21,2.22,2.28,2.38,2.49,2.71,2.96,3.26,74
