time,bond_closing_yields_1year,bond_closing_yields_2year,bond_closing_yields_5year,bond_closing_yields_10year,Swap_rates_1year,Swap_rates_2year,Swap_rates_3year,Swap_rates_4year,Swap_rates_5year,Swap_rates_7year,Swap_rates_10year,Swap_rates_15year,Swap_rates_2.10year
19-Mar,1.66,1.58,1.59,2.02,1.83,1.8,1.81,1.86,1.93,2.1,2.32,2.59,52
19-Apr,1.49,1.47,1.58,1.96,1.69,1.65,1.68,1.73,1.81,2,2.24,2.54,59
19-May,1.4,1.36,1.5,1.8,1.58,1.55,1.57,1.61,1.68,1.85,2.07,2.37,52
19-Jun,1.22,1.18,1.3,1.62,1.43,1.37,1.37,1.41,1.47,1.62,1.83,2.1,47
19-Jul,1.19,1.12,1.23,1.55,1.37,1.31,1.31,1.34,1.39,1.54,1.75,2.02,44
19-Aug,0.92,0.82,0.88,1.12,1.07,1,0.97,0.98,1.01,1.13,1.3,1.54,30
19-Sep,0.83,0.83,0.91,1.16,1.01,0.96,0.94,0.95,0.99,1.1,1.27,1.5,32
19-Oct,0.78,0.78,0.89,1.16,0.94,0.91,0.9,0.92,0.96,1.09,1.27,1.52,37
19-Nov,0.97,0.9,1.09,1.35,1.12,1.11,1.12,1.15,1.2,1.32,1.5,1.74,39
19-Dec,1.08,0.937756667,1.28,1.54,1.21,1.23,1.27,1.31,1.37,1.51,1.69,1.94,47
20-Jan,1.03,0.899736667,1.2,1.47,1.18,1.19,1.21,1.25,1.3,1.43,1.61,1.85,42
20-Feb,0.96,0.86746,1.06,1.27,1.09,1.07,1.07,1.09,1.13,1.24,1.4,1.63,34
20-Mar,0.46,0.325826667,0.79,1.1,0.66,0.66,0.69,0.73,0.78,0.9,1.09,1.32,42
20-Apr,0.23,0.249033333,0.52,0.94,0.37,0.38,0.41,0.46,0.53,0.69,0.9,1.17,53
20-May,0.09,0.235676667,0.24,0.63,0.21,0.17,0.18,0.22,0.28,0.44,0.67,0.94,50
20-Jun,0.2,0.237976667,0.43,0.89,0.25,0.23,0.26,0.31,0.38,0.55,0.78,1.05,55
20-Jul,0.24,0.235676667,0.42,0.9,0.24,0.21,0.23,0.27,0.34,0.5,0.72,1,51
20-Aug,0.23,0.235676667,0.24,0.67,0.19,0.13,0.13,0.16,0.22,0.37,0.59,0.86,46
20-Sep,0.19,0.235676667,0.02,0.55,0.12,0.04,0.04,0.07,0.12,0.28,0.53,0.8,49
20-Oct,0.18,0.235676667,0.03,0.54,0.09,0.03,0.03,0.06,0.11,0.27,0.5,0.79,47
20-Nov,0.21,0.21,0.22,0.77,0.18,0.16,0.19,0.25,0.33,0.51,0.76,1.06,60
20-Dec,0.20754,0.24,0.34,0.92,0.25,0.27,0.32,0.4,0.49,0.68,0.94,1.27,67
21-Jan,0.20754,0.22,0.39,1.04,0.26,0.29,0.36,0.47,0.58,0.81,1.09,1.42,81
21-Feb,0.20754,0.26,0.75,1.47,0.29,0.38,0.53,0.71,0.89,1.2,1.55,1.9,117
21-Mar,0.215388333,0.32,1.03,1.76,0.35,0.49,0.69,0.92,1.14,1.52,1.92,2.29,142
21-Apr,0.215388333,0.25,0.87,1.67,0.35,0.45,0.63,0.84,1.05,1.43,1.83,2.2,137
21-May,0.215388333,0.3,1.04,1.81,0.37,0.54,0.76,0.99,1.21,1.57,1.95,2.33,141
21-Jun,0.215388333,0.35,1.03,1.76,0.41,0.63,0.88,1.1,1.29,1.59,1.89,2.22,126
21-Jul,0.559241667,0.66,1.13,1.58,0.7,0.96,1.14,1.29,1.4,1.59,1.79,2.02,84
21-Aug,0.862558333,0.9,1.3,1.65,0.97,1.24,1.4,1.51,1.59,1.74,1.91,2.13,67
21-Sep,0.949421667,1.02,1.52,1.88,1.07,1.41,1.59,1.71,1.79,1.93,2.11,2.32,70
21-Oct,1.36,1.11,1.81,2.23,1.29,1.74,1.96,2.08,2.16,2.28,2.43,2.6,69
21-Nov,1.58,2.01,2.33,2.57,1.63,2.27,2.53,2.63,2.67,2.7,2.73,2.8,47
21-Dec,1.53,1.97,2.21,2.37,1.69,2.22,2.45,2.53,2.55,2.56,2.58,2.6,36
22-Jan,1.6,2.05,2.37,2.56,1.83,2.32,2.55,2.66,2.7,2.76,2.8,2.84,49
22-Feb,1.83,2.25,2.58,2.73,2.07,2.56,2.74,2.83,2.87,2.91,2.94,2.96,38
22-Mar,2.15,2.64,2.93,3.07,2.52,3.02,3.16,3.21,3.23,3.26,3.27,3.27,26
22-Apr,2.62,3.16,3.39,3.47,3.05,3.6,3.7,3.72,3.72,3.71,3.71,3.67,11
22-May,2.81,3.27,3.48,3.64,3.29,3.73,3.82,3.83,3.83,3.85,3.89,3.87,16
22-Jun,3.22,3.59,3.77,3.98,3.84,4.18,4.23,4.23,4.22,4.23,4.25,4.27,7
22-Jul,3.26,3.46,3.5,3.65,3.86,3.95,3.89,3.84,3.81,3.81,3.84,3.87,-11
22-Aug,3.47,3.5,3.48,3.58,3.94,3.98,3.88,3.81,3.76,3.74,3.75,3.79,-22
22-Sep,3.91,3.95,3.98,4.07,4.33,4.42,4.36,4.3,4.25,4.23,4.24,4.28,-19
22-Oct,4.17,4.34,4.36,4.41,4.87,4.95,4.85,4.76,4.7,4.67,4.66,4.69,-29
22-Nov,4.53,4.49,4.32,4.28,5.13,5.11,4.93,4.78,4.67,4.59,4.56,4.6,-55
22-Dec,4.95,4.71,4.27,4.21,5.36,5.2,4.92,4.72,4.6,4.49,4.45,4.48,-76
23-Jan,4.91,4.54,4.1,4.13,5.38,5.03,4.69,4.49,4.39,4.33,4.32,4.36,-71
23-Feb,4.93,4.65,4.25,4.31,5.39,5.12,4.81,4.62,4.51,4.44,4.43,4.48,-69
23-Mar,5.03,4.73,4.37,4.34,5.41,5.15,4.87,4.68,4.57,4.48,4.43,4.46,-72
23-Apr,5.13,4.6,4.1,4.09,5.55,5.04,4.66,4.44,4.32,4.23,4.2,4.24,-85
23-May,5.32,4.76,4.17,4.22,5.71,5.16,4.76,4.53,4.4,4.31,4.29,4.33,-87
23-Jun,5.4,5.05,4.44,4.49,5.77,5.36,4.98,4.74,4.6,4.49,4.45,4.5,-91
23-Jul,5.62,5.36,4.7,4.64,5.84,5.51,5.15,4.91,4.77,4.64,4.59,4.64,-92
