Date,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY11,SVENY12,SVENY13,SVENY14,SVENY15,SVENY16,SVENY17,SVENY18,SVENY19,SVENY20,SVENY21,SVENY22,SVENY23,SVENY24,SVENY25,SVENY26,SVENY27,SVENY28,SVENY29,SVENY30
2020-09-30,0.13459999859333,0.130700007081032,0.166500002145767,0.225500002503395,0.297300010919571,0.375299990177155,0.45550000667572,0.535399973392487,0.613600015640259,0.689300000667572,0.762000024318695,0.83160001039505,0.898000001907349,0.961300015449524,1.02149999141693,1.07879996299744,1.13339996337891,1.18519997596741,1.23450005054474,1.28129994869232,1.32589995861053,1.36819994449615,1.40849995613098,1.44679999351501,1.4831999540329,1.51789999008179,1.55089998245239,1.582200050354,1.61210000514984,1.64049994945526
2020-08-31,0.148399993777275,0.135000005364418,0.168599992990494,0.230199992656708,0.307399988174438,0.392300009727478,0.479699999094009,0.566500008106232,0.651000022888184,0.73199999332428,0.809000015258789,0.882000029087067,0.950699985027313,1.01549994945526,1.07650005817413,1.13390004634857,1.18789994716644,1.23880004882812,1.28680002689362,1.33200001716614,1.3746999502182,1.41499996185303,1.45319998264313,1.48919999599457,1.52339994907379,1.55569994449615,1.58640003204346,1.61549997329712,1.64310002326965,1.66939997673035
2020-07-31,0.13680000603199,0.113200001418591,0.136500000953674,0.1841000020504,0.243100002408028,0.306300014257431,0.370099991559982,0.432700008153915,0.49329999089241,0.551699995994568,0.607900023460388,0.66210001707077,0.714399993419647,0.764900028705597,0.813799977302551,0.861199975013733,0.907100021839142,0.951600015163422,0.994700014591217,1.03649997711182,1.07690000534058,1.11600005626678,1.15380001068115,1.19019997119904,1.22549998760223,1.25940001010895,1.29219996929169,1.32369995117188,1.35409998893738,1.38329994678497
2020-06-30,0.177499994635582,0.159299999475479,0.191599994897842,0.249500006437302,0.3192999958992,0.393400013446808,0.468199998140335,0.541700005531311,0.613099992275238,0.682200014591217,0.74889999628067,0.813300013542175,0.875400006771088,0.93529999256134,0.993099987506866,1.04879999160767,1.10239994525909,1.15409994125366,1.20379996299744,1.25160002708435,1.29750001430511,1.34159994125366,1.38380002975464,1.42429995536804,1.46300005912781,1.50010001659393,1.53559994697571,1.56959998607635,1.60199999809265,1.6331000328064
2020-05-31,0.190200001001358,0.174199998378754,0.209499999880791,0.26800000667572,0.33610001206398,0.407099992036819,0.478300005197525,0.548500001430511,0.617200016975403,0.68419998884201,0.749599993228912,0.813300013542175,0.875299990177155,0.935500025749207,0.993799984455109,1.05019998550415,1.10469996929169,1.1570999622345,1.20749998092651,1.25590002536774,1.30219995975494,1.34660005569458,1.3889000415802,1.4293999671936,1.46800005435944,1.50479996204376,1.53989994525909,1.57330000400543,1.60520005226135,1.63549995422363
2020-04-30,0.180899992585182,0.215900003910065,0.271200001239777,0.333999991416931,0.398299992084503,0.461600005626678,0.523100018501282,0.582599997520447,0.640200018882751,0.696099996566772,0.750400006771088,0.803099989891052,0.854200005531311,0.903800010681152,0.951799988746643,0.998099982738495,1.042799949646,1.08580005168915,1.12720000743866,1.16680002212524,1.20480000972748,1.24109995365143,1.27579998970032,1.30889999866486,1.34060001373291,1.37070000171661,1.39939999580383,1.4268000125885,1.45290005207062,1.47769999504089
2020-03-31,0.256300002336502,0.276800006628036,0.323000013828278,0.383199989795685,0.450199991464615,0.519699990749359,0.589100003242493,0.657100021839142,0.722800016403198,0.785799980163574,0.846099972724915,0.903400003910065,0.958000004291534,1.00989997386932,1.05920004844666,1.10599994659424,1.15040004253387,1.19249999523163,1.23249995708466,1.27049994468689,1.30649995803833,1.34060001373291,1.37300002574921,1.40380001068115,1.43299996852875,1.46070003509521,1.48699998855591,1.51189994812012,1.53569996356964,1.55820000171661
2020-02-29,1.05690002441406,0.882300019264221,0.854700028896332,0.879800021648407,0.921400010585785,0.967199981212616,1.0132999420166,1.05889999866486,1.10409998893738,1.14900004863739,1.19369995594025,1.23790001869202,1.28159999847412,1.32459998130798,1.36660003662109,1.40750002861023,1.44710004329681,1.48539996147156,1.52230000495911,1.5576000213623,1.59150004386902,1.62390005588531,1.65480005741119,1.68420004844666,1.71220004558563,1.73889994621277,1.76419997215271,1.78830003738403,1.81120002269745,1.83290004730225
2020-01-31,1.47759997844696,1.34159994125366,1.2989000082016,1.30130004882812,1.32550001144409,1.36010003089905,1.39989995956421,1.44200003147125,1.48529994487762,1.52880001068115,1.57219994068146,1.61510002613068,1.6570999622345,1.69809997081757,1.73800003528595,1.77649998664856,1.81359994411469,1.84920001029968,1.88329994678497,1.91589999198914,1.94690001010895,1.97650003433228,2.00460004806519,2.03130006790161,2.05660009384155,2.08060002326965,2.10349988937378,2.12509989738464,2.14560008049011,2.16499996185303
2019-12-31,1.6231000423431,1.5940999984741,1.6159000396729,1.6591000556946,1.7101000547409,1.7630000114441,1.815199971199,1.8658000230789,1.9144999980927,1.9610999822617,2.0057001113892,2.0483999252319,2.0890998840332,2.1280000209808,2.1649000644684,2.1998999118805,2.233099937439,2.2646000385284,2.2943000793457,2.3224000930786,2.3489000797272,2.3740000724792,2.3975999355316,2.4198000431061,2.4407999515533,2.460599899292,2.479199886322,2.4969000816345,2.5134999752045,2.5292000770569
2019-11-30,1.6759999990463,1.6416000127792,1.6290999650955,1.6325999498367,1.6480000019073,1.6718000173569,1.7015999555588,1.7352999448776,1.7714999914169,1.8090000152588,1.847000002861,1.8847999572754,1.9219000339508,1.9579000473023,1.9926999807358,2.025899887085,2.0574998855591,2.0873999595642,2.1154999732971,2.141900062561,2.1663999557495,2.189199924469,2.2102000713348,2.2295000553131,2.247200012207,2.2632999420166,2.2778000831604,2.2908999919891,2.3025000095367,2.3127000331879
2019-10-31,1.5918999910355,1.5420999526977,1.5198999643326,1.5182000398636,1.5312999486923,1.5550999641418,1.5864000320435,1.6229000091553,1.6627000570297,1.7044999599457,1.7470999956131,1.7898999452591,1.832200050354,1.8734999895096,1.9135999679565,1.952299952507,1.9893000125885,2.0246000289917,2.058000087738,2.0896000862122,2.1192998886108,2.1472001075745,2.1731998920441,2.1974000930786,2.219899892807,2.2406001091003,2.2597000598908,2.2771000862122,2.2929999828339,2.3073999881744
2019-09-30,1.8047000169754,1.6560000181198,1.586699962616,1.5626000165939,1.5642000436783,1.5800000429153,1.6037000417709,1.6318000555039,1.6621999740601,1.6938999891281,1.7261999845505,1.7587000131607,1.7913000583649,1.8237999677658,1.8560999631882,1.888100028038,1.9196000099182,1.950700044632,1.9811999797821,2.0111000537872,2.0402998924255,2.0687000751495,2.0964999198914,2.1233999729156,2.1494998931885,2.1749000549316,2.1993999481201,2.2230999469757,2.2460000514984,2.2681000232697
2019-08-31,1.7539,1.5276,1.4335,1.4024,1.4016,1.4156,1.4372,1.4632,1.4918,1.5224,1.5542,1.587,1.6203,1.6539,1.6876,1.721,1.754,1.7863,1.818,1.8488,1.8787,1.9076,1.9355,1.9623,1.9881,2.0129,2.0367,2.0595,2.0812,2.1021
2019-07-31,2.0346,1.8938,1.8397,1.8315,1.847,1.8746,1.9082,1.9446,1.9824,2.0209,2.0596,2.0985,2.1373,2.176,2.2144,2.2525,2.2901,2.3271,2.3634,2.399,2.4337,2.4676,2.5006,2.5325,2.5635,2.5935,2.6225,2.6505,2.6775,2.7036
